index,label
1,Gesture
2,Gesture
3,Gesture
4,Gesture
5,Gesture
6,Gesture
7,NoGesture
8,NoGesture
9,Gesture
10,Gesture
11,Gesture
12,Gesture
13,Gesture
14,Gesture
15,NoGesture
16,NoGesture
17,NoGesture
18,NoGesture
19,Gesture
20,Gesture
21,NoGesture
22,NoGesture
23,Gesture
24,Gesture
25,NoGesture
26,NoGesture
27,Gesture
28,Gesture
29,NoGesture
30,Gesture
31,NoGesture
32,Gesture
33,Gesture
34,NoGesture
35,NoGesture
36,NoGesture
37,NoGesture
38,NoGesture
39,NoGesture
40,Gesture
41,Gesture
42,Gesture
43,NoGesture
44,Gesture
45,Gesture
46,Gesture
47,Gesture
48,Gesture
49,Gesture
50,NoGesture
51,Gesture
52,NoGesture
53,Gesture
54,NoGesture
55,Gesture
56,Gesture
57,Gesture
58,Gesture
59,Gesture
60,NoGesture
61,Gesture
62,Gesture
63,Gesture
64,NoGesture
65,NoGesture
66,Gesture
67,Gesture
68,Gesture
69,Gesture
70,NoGesture
71,NoGesture
72,NoGesture
73,Gesture
74,Gesture
75,Gesture
76,Gesture
77,Gesture
78,NoGesture
79,NoGesture
80,Gesture
81,Gesture
82,NoGesture
83,Gesture
84,NoGesture
85,Gesture
86,NoGesture
87,Gesture
88,Gesture
89,Gesture
90,Gesture
91,NoGesture
92,Gesture
93,NoGesture
94,NoGesture
95,Gesture
96,Gesture
97,NoGesture
98,Gesture
99,Gesture
100,NoGesture
101,Gesture
102,Gesture
103,NoGesture
104,Gesture
105,Gesture
106,Gesture
107,Gesture
108,Gesture
109,Gesture
110,Gesture
111,Gesture
112,NoGesture
113,NoGesture
114,Gesture
115,Gesture
116,NoGesture
117,Gesture
118,Gesture
119,Gesture
120,Gesture
121,Gesture
122,Gesture
123,Gesture
124,Gesture
125,Gesture
126,Gesture
127,Gesture
128,Gesture
129,Gesture
130,Gesture
131,Gesture
132,Gesture
133,Gesture
134,NoGesture
135,NoGesture
136,Gesture
137,Gesture
138,NoGesture
139,Gesture
140,NoGesture
141,Gesture
142,Gesture
143,Gesture
144,NoGesture
145,Gesture
146,NoGesture
147,NoGesture
