index,label
0,indexing
1,indexing
2,indexing
3,indexing
4,molding
5,indexing
6,indexing
7,indexing
8,molding
9,indexing
10,indexing
11,indexing
12,indexing
13,indexing
14,other
15,other
16,indexing
17,indexing
18,indexing
19,indexing
20,indexing
21,indexing
22,indexing
23,indexing
24,indexing
25,indexing
26,emblematic
27,molding
28,molding
29,molding
30,indexing
31,molding
32,other
33,molding
34,representing
35,other
36,other
37,molding
38,molding
39,emblematic
40,representing
41,indexing
42,molding
43,molding
44,molding
45,molding
46,representing
47,emblematic
48,indexing
49,indexing
50,representing
51,indexing
52,indexing
53,indexing
54,indexing
55,indexing
56,indexing
57,representing
58,molding
59,indexing
60,indexing
61,indexing
62,indexing
63,indexing
64,molding
65,indexing
66,molding
67,indexing
68,emblematic
69,molding
70,indexing
71,indexing
72,indexing
73,indexing
74,emblematic
75,other
76,indexing
77,indexing
78,indexing
79,indexing
80,indexing
81,indexing
82,indexing
83,indexing
84,indexing
85,indexing
86,indexing
87,indexing
88,indexing
89,indexing
90,indexing
91,indexing
92,indexing
93,indexing
94,indexing
95,indexing
96,other
97,indexing
98,indexing
99,other
100,indexing
101,other
102,molding
103,representing
104,other
105,indexing
106,other
107,indexing
108,indexing
109,indexing
110,indexing
111,indexing
112,indexing
113,indexing
114,representing
115,indexing
116,emblematic
117,emblematic
118,representing
119,indexing
120,indexing
121,indexing
122,indexing
123,other
124,indexing
125,emblematic
126,emblematic
127,emblematic
128,representing
129,representing
130,emblematic
131,indexing
132,indexing
133,indexing
134,indexing
135,indexing
136,indexing
137,indexing
138,indexing
139,indexing
140,representing
141,representing
142,molding
143,indexing
144,molding
145,indexing
146,other
