index,label
0,NoGesture
1,Indexing
2,Indexing
3,NoGesture
4,NoGesture
5,NoGesture
6,NoGesture
7,NoGesture
8,NoGesture
9,NoGesture
10,NoGesture
11,NoGesture
12,NoGesture
13,NoGesture
14,NoGesture
15,NoGesture
16,NoGesture
17,NoGesture
18,NoGesture
19,NoGesture
20,NoGesture
21,NoGesture
22,NoGesture
23,Indexing
24,Indexing
25,NoGesture
26,NoGesture
27,NoGesture
28,NoGesture
29,NoGesture
30,NoGesture
31,NoGesture
32,NoGesture
33,NoGesture
34,NoGesture
35,NoGesture
36,NoGesture
37,NoGesture
38,NoGesture
39,NoGesture
40,NoGesture
41,NoGesture
42,NoGesture
43,NoGesture
44,NoGesture
45,Indexing
46,NoGesture
47,NoGesture
48,Indexing
49,NoGesture
50,NoGesture
51,NoGesture
52,NoGesture
53,Indexing
54,Indexing
55,NoGesture
56,Indexing
57,Indexing
58,NoGesture
59,NoGesture
60,NoGesture
61,NoGesture
62,NoGesture
63,NoGesture
64,NoGesture
65,NoGesture
66,NoGesture
67,NoGesture
68,NoGesture
69,NoGesture
70,NoGesture
71,NoGesture
72,NoGesture
73,NoGesture
74,NoGesture
75,NoGesture
76,Indexing
77,NoGesture
78,NoGesture
79,NoGesture
80,NoGesture
81,NoGesture
82,Indexing
83,Indexing
84,NoGesture
85,NoGesture
86,Indexing
87,Indexing
88,NoGesture
89,Indexing
90,NoGesture
91,Indexing
92,Indexing
93,NoGesture
94,NoGesture
95,Indexing
96,NoGesture
97,Indexing
98,Indexing
99,NoGesture
100,Indexing
101,NoGesture
102,Indexing
103,Indexing
104,NoGesture
105,Indexing
106,NoGesture
107,Indexing
108,NoGesture
109,Indexing
110,Indexing
111,Indexing
112,Indexing
113,Indexing
114,NoGesture
115,NoGesture
116,Indexing
117,Indexing
118,Indexing
119,NoGesture
120,Indexing
121,Indexing
122,Indexing
123,NoGesture
124,Indexing
125,Indexing
126,NoGesture
127,Indexing
128,Indexing
129,Indexing
130,Indexing
131,Indexing
132,Indexing
133,Indexing
134,Indexing
135,Indexing
136,NoGesture
137,Indexing
138,Indexing
139,Indexing
140,Indexing
141,NoGesture
142,Indexing
143,NoGesture
144,Indexing
145,NoGesture
146,Indexing
147,NoGesture
148,Indexing
149,NoGesture
150,NoGesture
151,Indexing
152,Indexing
153,NoGesture
154,Indexing
155,Indexing
156,Indexing
