index,label
0,molding
1,beat
2,indexing
3,other
4,indexing
5,indexing
6,indexing
7,indexing
8,indexing
9,indexing
10,indexing
11,indexing
12,indexing
13,indexing
14,indexing
15,other
16,indexing
17,indexing
18,indexing
19,indexing
20,indexing
21,molding
22,other
23,other
24,indexing
25,other
26,other
27,indexing
28,emblematic
29,indexing
30,representing
31,indexing
32,indexing
33,molding
34,other
35,indexing
36,indexing
37,other
38,emblematic
39,indexing
40,indexing
41,indexing
42,other
43,other
44,other
45,other
46,other
47,molding
48,molding
49,other
50,beat
51,indexing
52,indexing
53,molding
54,other
55,other
56,other
57,molding
58,beat
59,indexing
60,other
61,other
62,other
63,indexing
64,representing
65,molding
66,molding
67,other
68,representing
69,other
70,representing
71,representing
72,other
73,representing
74,representing
75,indexing
76,drawing
77,drawing
78,molding
79,indexing
80,molding
81,indexing
82,other
83,other
84,representing
85,representing
86,molding
87,molding
88,molding
89,indexing
90,emblematic
91,indexing
92,other
93,other
94,representing
