index,label
0,Gesture
1,Gesture
2,Gesture
3,Gesture
4,Gesture
5,Gesture
6,Gesture
7,Gesture
8,NoGesture
9,NoGesture
10,Gesture
11,NoGesture
12,NoGesture
13,Gesture
14,Gesture
15,NoGesture
16,NoGesture
17,Gesture
18,NoGesture
19,Gesture
20,Gesture
21,Gesture
22,Gesture
23,Gesture
24,Gesture
25,Gesture
26,Gesture
27,Gesture
28,Gesture
29,Gesture
30,Gesture
31,Gesture
32,Gesture
33,Gesture
34,Gesture
35,Gesture
36,Gesture
37,Gesture
38,Gesture
39,Gesture
40,Gesture
41,Gesture
42,Gesture
43,Gesture
44,Gesture
45,Gesture
46,Gesture
47,Gesture
48,Gesture
49,Gesture
50,Gesture
51,NoGesture
52,Gesture
53,Gesture
54,Gesture
55,Gesture
56,Gesture
57,Gesture
58,Gesture
59,Gesture
60,Gesture
61,Gesture
62,Gesture
63,Gesture
64,Gesture
65,Gesture
66,Gesture
67,Gesture
68,Gesture
69,Gesture
70,Gesture
71,NoGesture
72,Gesture
73,NoGesture
74,NoGesture
75,NoGesture
76,Gesture
77,NoGesture
78,Gesture
79,NoGesture
80,NoGesture
81,NoGesture
82,Gesture
83,Gesture
84,Gesture
85,Gesture
86,Gesture
87,Gesture
88,Gesture
89,Gesture
90,Gesture
91,Gesture
92,Gesture
93,Gesture
94,Gesture
95,Gesture
96,Gesture
97,Gesture
98,Gesture
99,Gesture
100,Gesture
101,Gesture
102,Gesture
103,Gesture
104,Gesture
105,Gesture
106,Gesture
107,Gesture
108,Gesture
109,Gesture
110,Gesture
111,Gesture
112,Gesture
113,Gesture
114,Gesture
115,Gesture
116,Gesture
117,Gesture
118,Gesture
119,Gesture
120,Gesture
121,Gesture
122,Gesture
123,Gesture
124,Gesture
125,Gesture
126,Gesture
127,Gesture
128,Gesture
129,Gesture
130,Gesture
131,Gesture
132,Gesture
133,Gesture
134,Gesture
135,Gesture
136,Gesture
137,Gesture
138,Gesture
139,Gesture
140,Gesture
141,Gesture
142,Gesture
143,Gesture
144,Gesture
145,Gesture
146,Gesture
147,Gesture
148,Gesture
149,Gesture
150,Gesture
151,Gesture
152,Gesture
153,Gesture
154,Gesture
155,Gesture
156,Gesture
