index,label
0,other
1,other
2,other
3,other
4,other
5,indexing
6,representing
7,indexing
8,indexing
9,acting
10,acting
11,representing
12,beat
13,acting
14,acting
15,acting
16,beat
17,indexing
18,indexing
19,acting
20,indexing
21,indexing
22,emblematic
23,other
24,indexing
25,indexing
26,emblematic
27,circle
28,indexing
29,indexing
30,beat
31,indexing
32,indexing
33,other
34,indexing
35,other
36,other
37,indexing
38,representing
39,indexing
40,indexing
41,indexing
42,representing
43,indexing
44,other
45,other
46,indexing
47,indexing
48,indexing
49,indexing
50,beat
51,indexing
52,drawing
53,drawing
54,molding
55,molding
56,drawing
57,indexing
58,indexing
59,indexing
60,drawing
61,drawing
62,indexing
63,other
64,indexing
65,indexing
66,indexing
67,indexing
68,indexing
69,indexing
70,indexing
71,representing
72,indexing
73,acting
74,indexing
75,indexing
76,acting
77,indexing
78,acting
79,indexing
80,indexing
81,indexing
82,other
83,indexing
84,indexing
85,drawing
86,acting
87,drawing
88,acting
89,acting
90,drawing
91,indexing
92,indexing
93,indexing
94,indexing
95,indexing
96,indexing
97,indexing
98,indexing
99,acting
100,indexing
101,acting
102,drawing
103,drawing
104,acting
105,indexing
106,drawing
107,other
108,indexing
109,drawing
110,indexing
111,indexing
112,emblematic
113,indexing
114,acting
115,indexing
116,emblematic
117,representing
118,indexing
119,drawing
120,drawing
121,drawing
122,indexing
123,indexing
124,indexing
125,indexing
126,acting
127,drawing
128,indexing
129,indexing
130,beat
131,indexing
132,drawing
133,indexing
134,acting
135,acting
136,indexing
137,indexing
138,indexing
139,beat
140,acting
141,drawing
142,drawing
143,molding
144,drawing
145,acting
146,drawing
147,indexing
148,beat
149,indexing
150,beat
151,indexing
152,acting
153,drawing
154,acting
155,indexing
156,indexing
157,beat
158,acting
159,beat
160,indexing
161,other
162,indexing
163,indexing
164,indexing
165,other
166,indexing
167,acting
168,indexing
169,indexing
170,acting
171,other
172,acting
173,drawing
174,indexing
175,indexing
176,indexing
177,acting
178,acting
179,acting
180,indexing
181,other
182,drawing
183,drawing
184,indexing
185,drawing
186,drawing
187,drawing
188,drawing
189,drawing
190,drawing
191,drawing
192,drawing
193,acting
194,beat
195,indexing
196,emblematic
197,indexing
198,drawing
199,drawing
200,other
201,drawing
202,molding
203,acting
204,indexing
205,indexing
206,indexing
207,emblematic
208,indexing
209,other
210,acting
211,drawing
212,indexing
213,indexing
214,emblematic
215,indexing
216,molding
217,molding
218,other
219,acting
220,molding
221,molding
222,drawing
223,acting
224,molding
225,acting
226,acting
227,acting
228,acting
229,indexing
230,acting
231,indexing
232,acting
233,beat
234,acting
235,beat
236,other
237,other
238,molding
239,molding
240,acting
241,acting
242,beat
243,acting
244,indexing
245,molding
246,acting
247,acting
248,molding
249,other
250,other
251,acting
252,acting
253,molding
254,molding
255,acting
