index,label
0,Gesture
1,Gesture
2,NoGesture
3,Gesture
4,NoGesture
5,Gesture
6,Gesture
7,NoGesture
8,Gesture
9,Gesture
10,Gesture
11,Gesture
12,Gesture
13,NoGesture
14,Gesture
15,NoGesture
16,Gesture
17,Gesture
18,Gesture
19,Gesture
20,Gesture
21,Gesture
22,Gesture
23,NoGesture
24,NoGesture
25,Gesture
26,Gesture
27,NoGesture
28,Gesture
29,Gesture
30,Gesture
31,NoGesture
32,NoGesture
33,NoGesture
34,NoGesture
35,Gesture
36,Gesture
37,Gesture
38,NoGesture
39,NoGesture
40,Gesture
41,NoGesture
42,Gesture
43,NoGesture
44,Gesture
45,NoGesture
46,Gesture
47,Gesture
48,Gesture
49,Gesture
50,Gesture
51,Gesture
52,Gesture
53,Gesture
54,Gesture
55,Gesture
56,Gesture
57,NoGesture
58,Gesture
59,Gesture
60,Gesture
61,Gesture
62,NoGesture
63,NoGesture
64,Gesture
65,Gesture
66,NoGesture
67,Gesture
68,Gesture
69,Gesture
70,Gesture
71,NoGesture
72,NoGesture
73,Gesture
74,Gesture
75,Gesture
76,Gesture
77,Gesture
78,Gesture
79,Gesture
80,Gesture
81,Gesture
82,NoGesture
83,Gesture
84,Gesture
85,Gesture
86,Gesture
87,Gesture
88,Gesture
89,Gesture
90,NoGesture
91,NoGesture
92,NoGesture
93,NoGesture
94,Gesture
95,Gesture
96,NoGesture
97,Gesture
98,Gesture
99,NoGesture
100,Gesture
101,Gesture
102,Gesture
103,NoGesture
104,Gesture
105,Gesture
106,Gesture
107,Gesture
108,Gesture
109,Gesture
110,Gesture
111,Gesture
112,Gesture
113,Gesture
114,Gesture
115,Gesture
116,Gesture
117,Gesture
118,Gesture
119,Gesture
120,Gesture
121,Gesture
122,NoGesture
123,Gesture
124,Gesture
125,NoGesture
126,Gesture
127,Gesture
128,Gesture
129,Gesture
130,Gesture
131,Gesture
132,Gesture
133,Gesture
134,Gesture
135,Gesture
136,NoGesture
137,NoGesture
138,Gesture
139,Gesture
140,Gesture
141,Gesture
142,NoGesture
143,Gesture
144,Gesture
145,Gesture
146,Gesture
