index,label
1,representing
2,representing
3,representing
4,representing
5,representing
6,representing
7,representing
8,representing
9,representing
10,indexing
11,representing
12,indexing
13,indexing
14,indexing
15,emblematic
16,indexing
17,representing
18,indexing
19,representing
20,representing
21,emblematic
22,indexing
23,representing
24,representing
25,indexing
26,indexing
27,indexing
28,indexing
29,indexing
30,indexing
31,emblematic
32,representing
33,representing
34,representing
35,representing
36,representing
37,indexing
38,indexing
39,representing
40,other
41,representing
42,representing
