index,label
0,indexing
1,other
2,other
3,NoGesture
4,NoGesture
5,other
6,other
7,NoGesture
8,NoGesture
9,NoGesture
10,NoGesture
11,NoGesture
12,NoGesture
13,other
14,NoGesture
15,NoGesture
16,NoGesture
17,NoGesture
18,NoGesture
19,NoGesture
20,NoGesture
21,NoGesture
22,other
23,other
24,other
25,other
26,indexing
27,other
28,other
29,NoGesture
30,NoGesture
31,NoGesture
32,NoGesture
33,other
34,NoGesture
35,NoGesture
36,NoGesture
37,NoGesture
38,other
39,NoGesture
40,NoGesture
41,NoGesture
42,other
43,NoGesture
44,other
45,other
46,other
47,other
48,other
49,other
50,NoGesture
51,NoGesture
52,other
53,other
54,emblematic
55,other
56,other
57,other
58,other
59,other
60,NoGesture
61,NoGesture
62,NoGesture
63,NoGesture
64,NoGesture
65,NoGesture
66,NoGesture
67,NoGesture
68,NoGesture
69,NoGesture
70,NoGesture
71,NoGesture
72,other
73,NoGesture
74,NoGesture
75,NoGesture
76,other
77,NoGesture
78,other
79,NoGesture
80,NoGesture
81,NoGesture
82,other
83,other
84,other
85,other
86,other
87,other
88,other
89,emblematic
90,other
91,other
92,other
93,other
94,clapping
95,other
96,other
97,other
98,other
99,indexing
100,other
101,other
102,clapping
103,other
104,other
105,other
106,other
107,other
108,other
109,other
110,clapping
111,other
112,other
113,indexing
114,other
115,other
116,other
117,other
118,clapping
119,other
120,other
121,other
122,other
123,other
124,indexing
125,other
126,indexing
127,other
128,other
129,other
130,other
131,other
132,other
133,other
134,other
135,other
136,other
137,other
138,other
139,other
140,other
141,other
142,indexing
143,other
144,other
145,other
146,other
147,other
148,other
149,other
150,other
151,emblematic
152,clapping
153,other
154,clapping
155,other
156,other
