index,label
1,representing
2,representing
3,representing
4,nogesture
5,nogesture
6,representing
7,emblematic
8,nogesture
9,nogesture
10,nogesture
11,nogesture
12,nogesture
13,nogesture
14,representing
15,nogesture
16,nogesture
17,nogesture
18,indexing
19,nogesture
20,nogesture
21,nogesture
22,nogesture
23,representing
24,representing
25,representing
26,emblematic
27,emblematic
28,other
29,indexing
30,other
31,other
32,other
33,nogesture
34,representing
35,nogesture
36,nogesture
37,nogesture
38,nogesture
39,nogesture
40,nogesture
41,nogesture
42,other
43,nogesture
44,nogesture
45,nogesture
46,representing
47,indexing
48,other
49,representing
50,indexing
51,nogesture
52,nogesture
53,emblematic
54,emblematic
55,representing
56,representing
57,representing
58,representing
59,emblematic
60,other
61,nogesture
62,nogesture
63,nogesture
64,nogesture
65,nogesture
66,nogesture
67,nogesture
68,other
69,nogesture
70,nogesture
71,nogesture
72,nogesture
73,nogesture
74,nogesture
75,nogesture
76,nogesture
77,representing
78,other
79,emblematic
80,nogesture
81,nogesture
82,nogesture
83,representing
84,emblematic
85,indexing
86,representing
87,representing
88,molding
89,representing
90,representing
91,emblematic
92,representing
93,emblematic
94,emblematic
95,representing
96,representing
97,representing
98,indexing
99,indexing
100,indexing
101,indexing
102,emblematic
103,representing
104,representing
105,nogesture
106,representing
107,emblematic
108,representing
109,emblematic
110,representing
111,representing
112,emblematic
113,representing
114,indexing
115,representing
116,emblematic
117,nogesture
118,representing
119,emblematic
120,representing
121,representing
122,representing
123,representing
124,representing
125,representing
126,representing
127,indexing
128,nogesture
129,emblematic
130,emblematic
131,representing
132,representing
133,emblematic
134,representing
135,representing
136,representing
137,representing
138,representing
139,indexing
140,indexing
141,representing
142,emblematic
143,representing
144,representing
145,indexing
146,representing
147,representing
148,representing
149,emblematic
150,representing
151,molding
152,representing
153,representing
154,representing
155,emblematic
156,representing
157,representing
