index,label
0,representing
1,representing
2,representing
3,nogesture
4,nogesture
5,representing
6,representing
7,nogesture
8,other
9,indexing
10,other
11,nogesture
12,nogesture
13,representing
14,other
15,other
16,other
17,indexing
18,other
19,nogesture
20,nogesture
21,other
22,representing
23,representing
24,representing
25,representing
26,emblematic
27,other
28,representing
29,other
30,other
31,other
32,nogesture
33,representing
34,nogesture
35,nogesture
36,nogesture
37,other
38,other
39,nogesture
40,other
41,other
42,other
43,nogesture
44,other
45,representing
46,representing
47,other
48,representing
49,indexing
50,nogesture
51,nogesture
52,representing
53,emblematic
54,representing
55,representing
56,representing
57,representing
58,representing
59,indexing
60,NoGesture
61,NoGesture
62,nogesture
63,nogesture
64,nogesture
65,nogesture
66,other
67,other
68,nogesture
69,nogesture
70,nogesture
71,nogesture
72,nogesture
73,other
74,nogesture
75,nogesture
76,representing
77,other
78,emblematic
79,nogesture
80,other
81,other
82,representing
83,representing
84,emblematic
85,representing
86,representing
87,representing
88,representing
89,representing
90,representing
91,representing
92,representing
93,representing
94,representing
95,representing
96,representing
97,representing
98,indexing
99,indexing
100,indexing
101,emblematic
102,representing
103,representing
104,representing
105,emblematic
106,emblematic
107,representing
108,emblematic
109,representing
110,emblematic
111,representing
112,representing
113,indexing
114,representing
115,emblematic
116,representing
117,representing
118,emblematic
119,representing
120,representing
121,representing
122,representing
123,representing
124,representing
125,representing
126,indexing
127,representing
128,emblematic
129,representing
130,representing
131,representing
132,representing
133,representing
134,representing
135,representing
136,representing
137,representing
138,representing
139,indexing
140,representing
141,emblematic
142,representing
143,representing
144,indexing
145,representing
146,representing
147,representing
148,representing
149,representing
150,representing
151,representing
152,representing
153,representing
154,representing
155,representing
156,representing
