index,label
1,representing
2,indexing
3,indexing
4,representing
5,indexing
6,acting
7,representing
8,indexing
9,representing
10,acting
11,indexing
12,representing
13,indexing
14,representing
15,indexing
16,indexing
17,other
18,indexing
19,representing
20,indexing
21,indexing
22,indexing
23,indexing
24,indexing
25,representing
26,indexing
27,indexing
28,indexing
29,indexing
30,indexing
31,representing
32,indexing
33,indexing
34,indexing
35,indexing
36,other
37,emblematic
38,indexing
39,indexing
40,indexing
41,indexing
42,indexing
43,indexing
44,representing
45,representing
46,representing
47,indexing
48,indexing
49,indexing
50,indexing
51,indexing
52,indexing
53,representing
54,indexing
55,indexing
56,indexing
57,representing
58,representing
59,representing
60,indexing
61,representing
62,representing
63,indexing
64,representing
65,representing
66,indexing
67,indexing
68,representing
69,indexing
70,indexing
71,representing
72,representing
73,representing
