index,label
0,Gesture
1,Gesture
2,Gesture
3,Gesture
4,Gesture
5,Gesture
6,NoGesture
7,NoGesture
8,Gesture
9,Gesture
10,Gesture
11,Gesture
12,Gesture
13,Gesture
14,NoGesture
15,NoGesture
16,NoGesture
17,NoGesture
18,Gesture
19,Gesture
20,NoGesture
21,NoGesture
22,Gesture
23,Gesture
24,NoGesture
25,NoGesture
26,Gesture
27,Gesture
28,NoGesture
29,Gesture
30,NoGesture
31,Gesture
32,Gesture
33,NoGesture
34,NoGesture
35,NoGesture
36,NoGesture
37,NoGesture
38,NoGesture
39,Gesture
40,Gesture
41,Gesture
42,NoGesture
43,Gesture
44,Gesture
45,Gesture
46,Gesture
47,Gesture
48,Gesture
49,NoGesture
50,Gesture
51,NoGesture
52,Gesture
53,NoGesture
54,Gesture
55,Gesture
56,Gesture
57,Gesture
58,Gesture
59,NoGesture
60,Gesture
61,Gesture
62,Gesture
63,NoGesture
64,NoGesture
65,Gesture
66,Gesture
67,Gesture
68,Gesture
69,NoGesture
70,NoGesture
71,NoGesture
72,Gesture
73,Gesture
74,Gesture
75,Gesture
76,Gesture
77,NoGesture
78,NoGesture
79,Gesture
80,Gesture
81,NoGesture
82,Gesture
83,NoGesture
84,Gesture
85,NoGesture
86,Gesture
87,Gesture
88,Gesture
89,Gesture
90,NoGesture
91,Gesture
92,NoGesture
93,Gesture
94,Gesture
95,Gesture
96,NoGesture
97,Gesture
98,Gesture
99,NoGesture
100,Gesture
101,Gesture
102,NoGesture
103,Gesture
104,Gesture
105,Gesture
106,Gesture
107,Gesture
108,Gesture
109,Gesture
110,Gesture
111,NoGesture
112,NoGesture
113,Gesture
114,Gesture
115,NoGesture
116,Gesture
117,Gesture
118,Gesture
119,Gesture
120,Gesture
121,Gesture
122,Gesture
123,Gesture
124,Gesture
125,Gesture
126,Gesture
127,Gesture
128,Gesture
129,Gesture
130,Gesture
131,Gesture
132,Gesture
133,NoGesture
134,NoGesture
135,Gesture
136,Gesture
137,NoGesture
138,Gesture
139,NoGesture
140,Gesture
141,Gesture
142,Gesture
143,NoGesture
144,Gesture
145,NoGesture
146,NoGesture
