index,label
1,Gesture
2,NoGesture
3,NoGesture
4,NoGesture
5,NoGesture
6,NoGesture
7,NoGesture
8,NoGesture
9,NoGesture
10,NoGesture
11,NoGesture
12,NoGesture
13,NoGesture
14,NoGesture
15,NoGesture
16,Gesture
17,NoGesture
18,NoGesture
19,NoGesture
20,NoGesture
21,NoGesture
22,NoGesture
23,NoGesture
24,NoGesture
25,NoGesture
26,NoGesture
27,NoGesture
28,NoGesture
29,NoGesture
30,NoGesture
31,NoGesture
32,NoGesture
33,Gesture
34,Gesture
35,Gesture
36,Gesture
37,Gesture
38,Gesture
39,Gesture
40,Gesture
41,Gesture
42,Gesture
43,Gesture
44,Gesture
45,Gesture
46,Gesture
47,NoGesture
48,Gesture
49,Gesture
50,Gesture
51,NoGesture
52,NoGesture
53,NoGesture
54,NoGesture
55,NoGesture
56,NoGesture
57,NoGesture
58,NoGesture
59,NoGesture
60,NoGesture
61,NoGesture
62,NoGesture
63,NoGesture
64,NoGesture
65,NoGesture
66,NoGesture
67,NoGesture
68,NoGesture
69,NoGesture
70,NoGesture
71,NoGesture
72,NoGesture
73,NoGesture
74,NoGesture
75,NoGesture
76,Gesture
77,Gesture
78,Gesture
79,Gesture
80,Gesture
81,Gesture
82,Gesture
83,Gesture
84,Gesture
85,Gesture
86,Gesture
87,Gesture
88,Gesture
89,NoGesture
90,NoGesture
91,Gesture
92,NoGesture
93,NoGesture
94,NoGesture
95,NoGesture
96,NoGesture
97,NoGesture
98,NoGesture
99,NoGesture
100,NoGesture
101,NoGesture
102,NoGesture
103,NoGesture
104,Gesture
105,Gesture
106,Gesture
107,Gesture
108,Gesture
109,Gesture
110,Gesture
111,Gesture
112,Gesture
113,Gesture
