index,label
1,molding
2,indexing
3,emblematic
4,indexing
5,molding
6,indexing
7,other
8,indexing
9,molding
10,indexing
11,indexing
12,indexing
13,indexing
14,indexing
15,molding
16,other
17,indexing
18,representing
19,indexing
20,indexing
21,indexing
22,indexing
23,indexing
24,indexing
25,indexing
26,other
27,emblematic
28,molding
29,molding
30,molding
31,molding
32,molding
33,molding
34,other
35,other
36,other
37,other
38,molding
39,molding
40,indexing
41,representing
42,indexing
43,molding
44,representing
45,other
46,molding
47,emblematic
48,emblematic
49,emblematic
50,indexing
51,representing
52,indexing
53,indexing
54,indexing
55,molding
56,other
57,representing
58,representing
59,molding
60,indexing
61,indexing
62,indexing
63,indexing
64,molding
65,molding
66,indexing
67,molding
68,indexing
69,molding
70,molding
71,molding
72,indexing
73,emblematic
74,indexing
75,molding
76,indexing
77,indexing
78,other
79,other
80,indexing
81,representing
82,other
83,indexing
84,indexing
85,indexing
86,indexing
87,indexing
88,indexing
89,indexing
90,indexing
91,indexing
92,indexing
93,indexing
94,indexing
95,indexing
96,indexing
97,indexing
98,indexing
99,other
100,other
101,representing
102,other
103,molding
104,molding
105,molding
106,indexing
107,other
108,indexing
109,indexing
110,indexing
111,indexing
112,other
113,indexing
114,indexing
115,representing
116,indexing
117,emblematic
118,indexing
119,representing
120,indexing
121,other
122,representing
123,indexing
124,indexing
125,indexing
126,emblematic
127,emblematic
128,emblematic
129,representing
130,representing
131,emblematic
132,indexing
133,molding
134,indexing
135,emblematic
136,indexing
137,other
138,indexing
139,indexing
140,other
141,molding
142,representing
143,molding
144,indexing
145,other
146,other
147,other
