index,label
1,NoGesture
2,Gesture
3,Gesture
4,Gesture
5,Gesture
6,NoGesture
7,Gesture
8,NoGesture
9,Gesture
10,NoGesture
11,Gesture
12,Gesture
13,Gesture
14,NoGesture
15,Gesture
16,NoGesture
17,NoGesture
18,Gesture
19,Gesture
20,NoGesture
21,NoGesture
22,NoGesture
23,NoGesture
24,Gesture
25,Gesture
26,Gesture
27,NoGesture
28,NoGesture
29,NoGesture
30,Gesture
31,NoGesture
32,NoGesture
33,NoGesture
34,NoGesture
35,NoGesture
36,NoGesture
37,NoGesture
38,Gesture
39,Gesture
40,NoGesture
41,NoGesture
42,Gesture
43,NoGesture
44,Gesture
45,NoGesture
46,NoGesture
47,NoGesture
48,Gesture
49,Gesture
50,Gesture
51,Gesture
52,Gesture
53,Gesture
54,NoGesture
55,Gesture
56,Gesture
57,Gesture
58,Gesture
59,NoGesture
60,Gesture
61,NoGesture
62,NoGesture
63,Gesture
64,Gesture
65,Gesture
66,NoGesture
67,Gesture
68,Gesture
69,Gesture
70,NoGesture
71,Gesture
72,Gesture
73,Gesture
