index,label
0,indexing
1,representing
2,representing
3,representing
4,representing
5,representing
6,indexing
7,representing
8,representing
9,representing
10,representing
11,representing
12,representing
13,representing
14,representing
15,representing
16,indexing
17,indexing
18,indexing
19,representing
20,representing
21,representing
22,representing
23,representing
24,representing
25,representing
26,emblematic
27,indexing
28,indexing
29,indexing
30,indexing
31,indexing
32,indexing
33,indexing
34,emblematic
35,indexing
36,emblematic
37,indexing
38,indexing
39,indexing
40,emblematic
41,representing
42,indexing
43,indexing
44,representing
45,indexing
46,emblematic
47,representing
48,indexing
49,indexing
50,indexing
51,indexing
52,indexing
53,indexing
54,representing
55,indexing
56,emblematic
57,indexing
58,indexing
59,emblematic
60,indexing
61,indexing
62,indexing
63,indexing
64,indexing
65,indexing
66,indexing
67,representing
68,indexing
69,emblematic
70,representing
71,representing
72,emblematic
73,representing
74,indexing
75,representing
76,representing
77,emblematic
78,representing
79,indexing
80,representing
81,representing
82,indexing
83,indexing
84,indexing
85,indexing
86,representing
87,emblematic
88,emblematic
89,representing
90,representing
91,emblematic
92,representing
93,indexing
94,representing
95,representing
96,representing
97,indexing
98,representing
99,indexing
100,indexing
101,molding
102,indexing
103,indexing
104,indexing
105,indexing
106,indexing
107,indexing
108,representing
109,indexing
110,indexing
111,representing
112,emblematic
113,representing
114,emblematic
115,indexing
116,indexing
117,representing
118,emblematic
119,indexing
120,indexing
121,indexing
122,indexing
123,indexing
124,indexing
125,indexing
126,representing
127,indexing
128,indexing
129,indexing
130,indexing
131,emblematic
132,emblematic
133,emblematic
134,representing
135,representing
136,indexing
137,indexing
138,indexing
139,indexing
140,emblematic
141,representing
142,indexing
143,emblematic
144,indexing
145,representing
146,indexing
147,representing
148,indexing
149,representing
150,indexing
151,indexing
152,indexing
153,indexing
154,indexing
155,indexing
156,indexing
157,indexing
158,indexing
159,emblematic
160,representing
161,representing
162,indexing
163,indexing
164,emblematic
165,emblematic
166,representing
167,indexing
168,indexing
169,indexing
170,indexing
171,indexing
172,emblematic
173,representing
174,indexing
175,indexing
176,indexing
177,emblematic
178,indexing
179,representing
180,indexing
181,representing
182,indexing
183,indexing
184,indexing
185,indexing
186,indexing
187,indexing
188,indexing
189,indexing
190,indexing
191,indexing
192,indexing
193,representing
194,representing
195,representing
196,representing
197,indexing
198,representing
199,emblematic
200,indexing
201,indexing
202,emblematic
203,representing
204,representing
205,indexing
206,indexing
207,indexing
208,emblematic
209,indexing
210,emblematic
211,indexing
212,emblematic
213,emblematic
214,emblematic
215,representing
216,emblematic
217,representing
218,representing
219,representing
220,representing
221,representing
222,representing
223,representing
224,representing
225,representing
226,representing
227,representing
228,representing
229,representing
230,representing
231,representing
232,representing
233,emblematic
234,representing
235,representing
236,representing
237,representing
238,representing
239,representing
240,indexing
241,representing
242,representing
243,representing
244,representing
245,representing
246,representing
247,representing
248,representing
249,representing
250,representing
251,representing
252,representing
253,representing
254,representing
255,representing
