index,label
0,other
1,other
2,other
3,other
4,other
5,other
6,other
7,other
8,other
9,other
10,other
11,other
12,other
13,other
14,other
15,other
16,other
17,other
18,other
19,other
20,other
21,other
22,other
23,other
24,other
25,other
26,other
27,other
28,other
29,other
30,other
31,other
32,other
33,other
34,other
35,other
36,other
37,other
38,other
39,other
40,other
41,other
42,other
43,other
44,other
45,other
46,other
47,other
48,other
49,other
50,other
51,other
52,other
53,other
54,other
55,other
56,other
57,other
58,other
59,other
60,other
61,other
62,other
63,other
64,indexing
65,other
66,other
67,other
68,other
69,other
70,other
71,other
72,other
73,other
74,other
75,other
76,other
77,other
78,other
79,other
80,other
81,other
82,other
83,other
84,other
85,other
86,other
87,other
88,other
89,other
90,other
91,other
92,other
93,other
94,other
